S1.1,S1.2,S1.3,S1.4,S2.1,S2.2,S2.3,S2.4,S3.1,S3.2,S3.3,S3.4,S4.1,S4.2,S4.3,S4.4,S5.1,S5.2,S5.3,S5.4,S6.1,S6.2,S6.3,S6.4,S7.1,S7.2,S7.3,S7.4
g1.1,g1.2,g1.3,g1.4,g1.5,g1.6,g1.7,g1.8,g2.1,g2.2,g2.3,g2.4,g3.1,g3.2,g3.3,g3.4,g3.5,g4.1,g4.2
0.0,1171422.6380952382,0.0,0.0,0,407.33410447761196,55409.78166666666,0.0,5.0,1,4.375,3.5714285714285716,368.11808,0.0,5.0,3.75,4.0,0.0,0.0
1008654.4649123654,207691.0,343970.0,952088.40684,0,203.64332821962768,27701.66364781541,5932.738861966317,3.333333333333334,1,5.0,3.5714285714285716,182.36603733333334,2.5,5.0,3.75,4.0,170.01497763177497,418.0
1260873.8441752836,207691.0,503670.0,991697.2221429412,0,177.90078980281265,24199.898346206846,6591.252718813424,3.0,1,5.0,3.5714285714285716,158.52147105882352,3.0,5.0,3.75,4.0,191.29502356606193,690.0
905164.5324783172,442291.0,109370.0,917604.2961185714,0,208.1849294553252,28319.459040150145,5457.113559468874,3.666666666666667,1,5.0,3.5714285714285716,186.2073211428572,2.0,5.0,3.75,4.0,165.86873676244596,418.0
1239757.0915844156,0.0,551661.0,955885.14227925,0,201.7974301488273,27450.56557388138,6770.510232941604,2.3333333333333335,1,4.375,4.2857142857142865,167.5462228,4.5,4.0,3.75,4.0,183.11132380428802,2368.0
1397246.814657143,30180.0,730011.0,996167.8453803448,1,139.04467139431415,18914.28878451746,6736.231914588091,1.666666666666667,1,3.75,3.5714285714285716,141.07126724904217,4.5,4.0,3.75,4.0,207.42261139068611,2448.0
1636980.8493180352,30180.0,889711.0,1035488.6761189473,1,114.71432455007047,15604.624330462615,7184.784074733849,1.3333333333333335,1,3.75,3.5714285714285716,118.35079242105267,5.0,4.0,3.75,4.0,227.83995069172278,2720.0
1282394.0269656035,264780.0,495411.0,995521.265405,1,141.6637762691244,19270.566414306042,6254.828413521056,2.0,1,3.75,3.5714285714285716,143.59506577777782,4.0,4.0,3.75,4.0,205.0246533051896,2448.0
1344232.4839897717,0.0,610011.0,957186.5070025572,0,205.34960832227534,27933.76944723315,7140.12966197225,2.0,1,4.375,5.0,162.46660001663204,2.5,3.0,2.5,4.0,188.2644360296487,2368.0
1522330.3797619045,30180.0,788361.0,1031776.465602392,1,138.8818969361527,18892.146525648164,7086.577165131471,1.3333333333333335,1,3.75,4.2857142857142865,132.8406804430919,2.5,3.0,2.5,4.0,214.81885320494666,2448.0
1751844.024583333,30180.0,948061.0,1070385.763506,1,117.02859147673482,15919.434761789773,7526.064842006341,0.9999999999999998,1,3.75,4.2857142857142865,112.89753493333335,3.0,3.0,2.5,4.0,232.7702539586832,2720.0
1385514.7488997292,264780.0,553761.0,1030932.7946963636,1,141.64444653059456,19267.936984116328,6544.739870429467,1.666666666666667,1,3.75,4.2857142857142865,136.1337848888889,2.0,3.0,2.5,4.0,211.6989790778058,2448.0
1531906.6868212118,0.0,775596.0,1070213.2044357916,0,160.7518777335822,21867.126640789407,6586.1022665002865,1.666666666666667,1,3.75,5.0,113.57108552895752,2.5,0.9999999999999998,0.0,3.0,232.5968569624465,2314.0
1400969.0945189858,30180.0,953946.0,1110816.0316540669,1,135.39961956940923,18418.45128021448,5432.109276134387,0.9999999999999998,1,3.125,4.2857142857142865,85.84658807017543,2.5,0.9999999999999998,0.0,3.0,257.90517519116395,2394.0
1899184.6812342657,30180.0,1113646.0,1149304.6454263157,1,75.69683845215525,10297.06387308257,6894.505125490725,0.6666666666666665,1,3.125,4.2857142857142865,66.37450947368421,3.0,0.9999999999999998,0.0,3.0,275.46352445406137,2666.0
1517359.7176748186,264780.0,719346.0,1109596.7448061414,1,101.00455170475517,13739.679775837754,5980.283117205114,1.3333333333333335,1,3.125,4.2857142857142865,90.60583591304345,2.0,0.9999999999999998,0.0,3.0,253.7270707651642,2394.0
1427139.5027408667,0.0,787239.0,1124178.079955091,0,129.73955476004596,17648.510949025644,5284.174288272639,1.3333333333333335,0,2.5,2.8571428571428568,164.45114560000002,1.0,0.0,0.0,0.0,270.0780528583566,2425.0
1555977.7956719168,30180.0,965589.0,1131706.4574825,1,62.25020165941725,8467.913795428001,5229.137171079041,0.6666666666666665,0,1.875,2.1428571428571432,135.06559570370368,1.0,0.0,0.0,0.0,297.5591851515416,2505.0
1796800.2610510197,30180.0,1125289.0,1204437.71921,1,49.288760223225516,6704.764989153312,5867.29226998029,0.33333333333333326,0,1.875,2.1428571428571432,112.69473599999998,1.5,0.0,0.0,0.0,306.2401152647975,2777.0
1492598.0993786533,264780.0,730989.0,1131266.6021373684,1,61.29360269564107,8337.787348507052,5027.415115434258,0.9999999999999998,0,1.875,2.1428571428571432,136.78248505263159,0.5,0.0,0.0,0.0,296.8917555258863,2505.0
1372026.2777876342,0.0,811446.8181818181,1030581.9350045768,0,176.37399298708078,23992.207712697134,6507.081265521341,1.666666666666667,1,3.125,2.8571428571428568,137.5032971034483,4.0,5.0,5.0,5.0,210.85125908254793,2618.0
1526015.9498932199,30180.0,989796.8181818181,1071163.9197662668,1,112.4337222961675,15294.393314772602,6466.403188590237,0.9999999999999998,1,2.5,2.1428571428571432,109.86015409929077,4.0,5.0,5.0,5.0,235.99146316546216,2698.0
1717070.2616773397,30180.0,1149496.8181818181,1109731.896935,1,90.81867254791221,12354.09154750236,6766.867562338681,0.6666666666666665,1,2.5,2.1428571428571432,90.078296,4.5,5.0,5.0,5.0,253.74669237414588,2970.0
1377529.2905788156,264780.0,755196.8181818181,1070150.3546940659,1,116.62441458937464,15864.454457324324,5934.213723477014,1.3333333333333335,1,2.5,2.1428571428571432,113.8164072087912,3.5,5.0,5.0,5.0,232.1334139228953,2698.0
1404394.4458455283,0.0,867115.0,995961.4072424325,1,186.5741005620981,25379.73143706843,6789.937164369477,0.9999999999999998,0,0.625,0.7142857142857145,141.87705816216217,4.5,3.0,2.5,4.0,206.83467487963748,2548.0
1533952.3343355265,30180.0,1045465.0,1070208.6682226846,1,121.50552506333457,16528.43339422148,6603.303709713315,0.33333333333333326,0,0.0,0.0,113.58879175,4.5,3.0,2.5,4.0,232.30073941307836,2628.0
1771679.4203350209,30180.0,1205165.0,1109006.7005736365,1,99.12319169317243,13483.75780335306,7057.083852613321,0.0,0,0.0,0.0,92.90895822222221,5.0,3.0,2.5,4.0,251.04979015928046,2900.0
1432938.7533407235,264780.0,810865.0,1035825.1497476483,1,124.45034173295605,16929.017698158776,6250.925146679635,0.6666666666666665,0,0.0,0.0,117.03743339130436,4.0,3.0,2.5,4.0,229.23626818693734,2628.0
